"benchmark","group","threads","time","timeout"
"(qm qm_choose_yz)","qm","4",58.782,False
"(qm qm_loop_1)","qm","4",3.900,False
"(qm qm_loop_2)","qm","4",5.932,False
"(qm qm_loop_3)","qm","4",7.180,False
"(qm qm_max2)","qm","4",36.029,False
"(qm qm_max3)","qm","4",3600.000,True
"(qm qm_neg_1)","qm","4",5.441,False
"(qm qm_neg_2)","qm","4",3.937,False
"(qm qm_neg_3)","qm","4",4.290,False
"(qm qm_neg_4)","qm","4",174.397,False
"(qm qm_neg_eq_1)","qm","4",3.891,False
"(qm qm_neg_eq_2)","qm","4",142.971,False
"(fft-sin)","parrot","4",4.443,False
"(fft-cos)","parrot","4",4.400,False
"(inversek2j-theta1)","parrot","4",14.928,False
"(inversek2j-theta2)","parrot","4",9.260,False
"(sobel-x)","parrot","4",2839.065,False
"(sobel-y)","parrot","4",2336.701,False
"(kmeans)","parrot","4",3802.910,False
"(hd-d0 1)","hd-d0","8",4.886,False
"(hd-d0 2)","hd-d0","8",5.539,False
"(hd-d0 3)","hd-d0","8",4.946,False
"(hd-d0 4)","hd-d0","8",6.588,False
"(hd-d0 5)","hd-d0","8",4.837,False
"(hd-d0 6)","hd-d0","8",5.798,False
"(hd-d0 7)","hd-d0","8",5.240,False
"(hd-d0 8)","hd-d0","8",6.670,False
"(hd-d0 9)","hd-d0","8",4.841,False
"(hd-d0 10)","hd-d0","8",6.449,False
"(hd-d0 11)","hd-d0","8",5.536,False
"(hd-d0 12)","hd-d0","8",5.304,False
"(hd-d0 13)","hd-d0","8",8.360,False
"(hd-d0 14)","hd-d0","8",5.813,False
"(hd-d0 15)","hd-d0","8",7.012,False
"(hd-d0 16)","hd-d0","8",6.301,False
"(hd-d0 17)","hd-d0","8",6.697,False
"(hd-d0 18)","hd-d0","8",6.194,False
"(hd-d0 19)","hd-d0","8",11.281,False
"(hd-d0 20)","hd-d0","8",3600.000,True
"(hd-d5 1)","hd-d5","8",7.099,False
"(hd-d5 2)","hd-d5","8",6.102,False
"(hd-d5 3)","hd-d5","8",5.790,False
"(hd-d5 4)","hd-d5","8",6.149,False
"(hd-d5 5)","hd-d5","8",6.457,False
"(hd-d5 6)","hd-d5","8",6.700,False
"(hd-d5 7)","hd-d5","8",6.596,False
"(hd-d5 8)","hd-d5","8",6.140,False
"(hd-d5 9)","hd-d5","8",7.256,False
"(hd-d5 10)","hd-d5","8",8.918,False
"(hd-d5 11)","hd-d5","8",10.085,False
"(hd-d5 12)","hd-d5","8",9.059,False
"(hd-d5 13)","hd-d5","8",18.298,False
"(hd-d5 14)","hd-d5","8",646.192,False
"(hd-d5 15)","hd-d5","8",640.225,False
"(hd-d5 16)","hd-d5","8",24.427,False
"(hd-d5 17)","hd-d5","8",13.606,False
"(hd-d5 18)","hd-d5","8",7.561,False
"(hd-d5 19)","hd-d5","8",3600.000,True
"(hd-d5 20)","hd-d5","8",3600.000,True
"(array-search 2)","arraysearch","8",6.253,False
"(array-search 3)","arraysearch","8",6.763,False
"(array-search 4)","arraysearch","8",6.858,False
"(array-search 5)","arraysearch","8",8.274,False
"(array-search 6)","arraysearch","8",15.316,False
"(array-search 7)","arraysearch","8",11.965,False
"(array-search 8)","arraysearch","8",41.676,False
"(array-search 9)","arraysearch","8",172.686,False
"(array-search 10)","arraysearch","8",110.783,False
"(array-search 11)","arraysearch","8",252.561,False
"(array-search 12)","arraysearch","8",163.357,False
"(array-search 13)","arraysearch","8",169.972,False
"(array-search 14)","arraysearch","8",138.581,False
"(array-search 15)","arraysearch","8",339.142,False
"(qm qm_choose_01)","qm","8",6.050,False
"(qm qm_choose_yz)","qm","8",39.016,False
"(qm qm_loop_1)","qm","8",4.540,False
"(qm qm_loop_2)","qm","8",4.954,False
"(qm qm_loop_3)","qm","8",5.498,False
"(qm qm_max2)","qm","8",40.322,False
"(qm qm_max3)","qm","8",2960.899,False
"(qm qm_neg_1)","qm","8",6.499,False
"(qm qm_neg_2)","qm","8",6.105,False
"(qm qm_neg_3)","qm","8",5.201,False
"(qm qm_neg_4)","qm","8",26.427,False
"(qm qm_neg_eq_1)","qm","8",5.337,False
"(qm qm_neg_eq_2)","qm","8",108.643,False
"(fft-sin)","parrot","8",6.162,False
"(fft-cos)","parrot","8",5.961,False
"(inversek2j-theta1)","parrot","8",11.482,False
"(inversek2j-theta2)","parrot","8",6.703,False
"(sobel-x)","parrot","8",1611.894,False
"(sobel-y)","parrot","8",1740.620,False
"(kmeans)","parrot","8",2000.368,False
